year,month,day,hour,speed
2014,2,2,8,95.7
2014,2,2,9,93.37
2014,2,2,10,91.37
2014,2,2,11,89.62
2014,2,2,12,91.08
2014,2,2,13,90.17
2014,2,2,14,87.47
2014,2,2,15,78.96
2014,2,2,16,90.3
2014,2,2,17,90.37
2014,2,2,18,92.63
2014,2,2,19,92.98
2014,2,2,20,91.58
2014,2,2,21,95.19
2014,2,2,22,97.04
2014,2,2,23,102.95
2014,2,3,0,104.24
2014,2,3,1,102.54
2014,2,3,2,101.44
2014,2,3,3,99.51
2014,2,3,4,101.39
2014,2,3,5,101.28
2014,2,3,6,70.59
2014,2,3,7,65.33
2014,2,3,8,87.65
2014,2,3,9,87.88
2014,2,3,10,83.76
2014,2,3,11,84.02
2014,2,3,12,87.61
2014,2,3,13,88.53
2014,2,3,14,85.65
2014,2,3,15,86.55
2014,2,3,16,87.7
2014,2,3,17,87.26
2014,2,3,18,85.41
2014,2,3,19,88.12
2014,2,3,20,90.53
2014,2,3,21,94.26
2014,2,3,22,98.19
2014,2,3,23,99.92
2014,2,4,0,100.21
2014,2,4,1,100.32
2014,2,4,2,96.2
2014,2,4,3,95.48
2014,2,4,4,95.61
2014,2,4,5,98.8
2014,2,4,6,90.14
2014,2,4,7,79.98
2014,2,4,8,82.99
2014,2,4,9,81.11
2014,2,4,10,76.44
2014,2,4,11,80.25
2014,2,4,12,82.05
2014,2,4,13,82.94
2014,2,4,14,83.42
2014,2,4,15,87.33
2014,2,4,16,83.73
2014,2,4,17,87.93
2014,2,4,18,85.87
2014,2,4,19,88.76
2014,2,4,20,88.93
2014,2,4,21,95.04
2014,2,4,22,96.67
2014,2,4,23,99
2014,2,5,0,100.18
2014,2,5,1,100.9
2014,2,5,2,97.63
2014,2,5,3,97.54
2014,2,5,4,95.29
2014,2,5,5,97.02
2014,2,5,6,92.82
2014,2,5,7,79.8
2014,2,5,8,81.21
2014,2,5,9,79.8
2014,2,5,10,76.52
2014,2,5,11,80.25
2014,2,5,12,83.07
2014,2,5,13,82.2
2014,2,5,14,83.5
2014,2,5,15,84.88
2014,2,5,16,86.44
2014,2,5,17,86.77
2014,2,5,18,84.94
2014,2,5,19,89.2
2014,2,5,20,89.4
2014,2,5,21,94.73
2014,2,5,22,96.05
2014,2,5,23,99.16
2014,2,6,0,101.28
2014,2,6,1,99.75
2014,2,6,2,96.71
2014,2,6,3,96.42
2014,2,6,4,94.73
2014,2,6,5,98.22
2014,2,6,6,92.44
2014,2,6,7,80.63
2014,2,6,8,79.98
2014,2,6,9,61.41
2014,2,6,10,45.67
2014,2,6,11,49.12
2014,2,6,12,76.49
2014,2,6,13,85.2
2014,2,6,14,82.6
2014,2,6,15,81.94
2014,2,6,16,85.15
2014,2,6,17,85.79
2014,2,6,18,85.24
2014,2,6,19,88.56
2014,2,6,20,89.02
2014,2,6,21,94.56
2014,2,6,22,96.48
2014,2,6,23,100.15
2014,2,7,0,100.86
2014,2,7,1,101.19
2014,2,7,2,99.03
2014,2,7,3,97.08
2014,2,7,4,95.49
2014,2,7,5,97.65
2014,2,7,6,93.24
2014,2,7,7,81.56
2014,2,7,8,83.31
2014,2,7,9,82.7
2014,2,7,10,74.74
2014,2,7,11,82.62
2014,2,7,12,82.75
2014,2,7,13,83.82
2014,2,7,14,84.17
2014,2,7,15,83.68
2014,2,7,16,85.15
2014,2,7,17,85.97
2014,2,7,18,83.34
2014,2,7,19,84.76
2014,2,7,20,86.6
2014,2,7,21,92.8
2014,2,7,22,95.84
2014,2,7,23,100.25
2014,2,8,0,101.81
2014,2,8,1,102.66
2014,2,8,2,102.88
2014,2,8,3,101.79
2014,2,8,4,99.33
2014,2,8,5,100.76
2014,2,8,6,96.35
2014,2,8,7,88.24
2014,2,8,8,86.58
2014,2,8,9,84.99
2014,2,8,10,85.06
2014,2,8,11,86.27
2014,2,8,12,89.44
2014,2,8,13,87.31
2014,2,8,14,86.62
2014,2,8,15,81.16
2014,2,8,16,79.26
2014,2,8,17,79.03
2014,2,8,18,78.21
2014,2,8,19,82.06
2014,2,8,20,79.05
2014,2,8,21,79.78
2014,2,8,22,81.79
2014,2,8,23,89.18
2014,2,9,0,94.17
2014,2,9,1,97.57
2014,2,9,2,97.47
2014,2,9,3,96.7
2014,2,9,4,97.64
2014,2,9,5,99.61
2014,2,9,6,98.06
2014,2,9,7,96.17
2014,2,9,8,96.51
2014,2,9,9,94.3
2014,2,9,10,92.17
2014,2,9,11,92.33
2014,2,9,12,94.7
2014,2,9,13,93.13
2014,2,9,14,89.3
2014,2,9,15,78.3
2014,2,9,16,87.65
2014,2,9,17,87.84
2014,2,9,18,87.46
2014,2,9,19,90.12
2014,2,9,20,89.05
2014,2,9,21,95.11
2014,2,9,22,98.82
2014,2,9,23,99.94
2014,2,10,0,97.36
2014,2,10,1,90.55
2014,2,10,2,87.42
2014,2,10,3,89.31
2014,2,10,4,92
2014,2,10,5,92.24
2014,2,10,6,71.46
2014,2,10,7,47.01
2014,2,10,8,69.67
2014,2,10,9,79.92
2014,2,10,10,75.14
2014,2,10,11,79.36
2014,2,10,12,83.26
2014,2,10,13,82.87
2014,2,10,14,84.22
2014,2,10,15,85.97
2014,2,10,16,87.06
2014,2,10,17,89.23
2014,2,10,18,87.11
2014,2,10,19,88.89
2014,2,10,20,89.38
2014,2,10,21,94.39
2014,2,10,22,96.45
2014,2,10,23,99.29
2014,2,11,0,99.84
2014,2,11,1,98.67
